question_id,question_text,response_type,options
DWELL_01,Which of these best describes your home? Please select one option.,single_choice,STANDALONE_1: Stand-alone house - single storey | STANDALONE_2P: Stand-alone house - two or more storeys | TERRACED_JOINED: Terraced house / joined unit | FLAT_CONVERTED: Flat in converted house | APARTMENT_PURPOSE_BUILT: Apartment / flat in purpose-built block | APARTMENT_COMMERCIAL_BUILDING: Apartment / flat in commercial building (e.g. building shared with offices or a shop) | OTHER: Other
DWELL_02,How many rooms are there in your house or flat? Please enter the number of each type of room present.,numeric,BEDROOMS: Bedrooms | OPEN_PLAN_KITCHEN_DINING_LIVING: Open plan kitchen/dining - living | SEPARATE_LIVING_ROOM: Separate Living room/ lounge/ family room | SEPARATE_KITCHEN: Separate Kitchen | SEPARATE_DINING_ROOM: Separate Dining room | BATHROOMS: Bathrooms (with bath/shower) | SEPARATE_LAUNDRY: Separate laundry room | OFFICE_STUDY_HOBBY_OTHER: Office/ study/ hobby/other rooms | ATTACHED_GARAGE: Attached garage | DETACHED_GARAGE: Detached garage | SLEEPOUT: Sleepout (used for living/sleeping)
DWELL_03,When was your house or flat built? Please enter an approximate year/decade if you are unsure.,free_text,
DWELL_04,What is the approximate floor area of your house or flat? Please select one option.,single_choice,LT_100: Less than 100m2 (typical 1-2 bed) | AREA_100_149: 100 - 149m2 | AREA_150_199: 150 - 199m2 (typical 3-4 bed) | AREA_200_249: 200 - 249m2 | AREA_250_299: 250 - 299m2 (typical 5-6 bed) | GTE_300: 300m2 or larger
DWELL_05,Does your house or flat have insulation in the roof space? Please select one option.,single_choice,YES: Yes | NO: No | NOT_APPLICABLE: Not applicable (e.g. another dwelling above) | UNSURE: Unsure
DWELL_06,Does your house or flat have insulation in the subfloor? Please select one option.,single_choice,YES: Yes | NO: No | NO_SUBFLOOR: No subfloor (concrete slab on ground) | NOT_APPLICABLE: Not applicable (e.g. another dwelling below) | UNSURE: Unsure
DWELL_07,Are the walls of your house or flat insulated? Please select one option.,single_choice,YES: Yes | NO: No | UNSURE: Unsure
DWELL_08,Are the windows single- or double-glazed? Please select one option.,single_choice,"ALL_DOUBLE: All double-glazed (or better) | MIXED: Some double-glazed, some single-glazed | ALL_SINGLE: All single-glazed | UNSURE: Unsure"
DWELL_09,Do you have any of the following? Please select as many as apply.,multi_choice,HEATED_POOL: A heated pool | SPA_POOL: A spa pool/hot tub | SAUNA: A sauna | NONE: None of these
DWELL_10,Which types of energy are used in your home? Please select as many as apply.,multi_choice,ELECTRICITY: Electricity | NATURAL_GAS: Natural gas (mains gas piped to the house) | LPG: LPG (bottled gas) | WOOD_SOLID_FUEL: Wood / solid fuel | SELF_GENERATED: Self-generated (e.g. solar panels) | OTHER: Other | UNSURE: Unsure
